91.IV.2,collection,dc.coverage.temporal[],dc.date.issued,dc.description[en],dc.identifier.isbn[],dc.identifier.issn[],dc.identifier.other[],dc.identifier.uri,dc.language[],dc.title[en],dc.title[es],dc.title[fr],dc.title[ru],dcterms.publisher[en],undr.contributor.corporate[en],undr.contributor.corporate[es],undr.contributor.corporate[fr],undr.contributor.corporate[ru],undr.identifier.salesnumber[],undr.identifier.symbol[],
422366,11176/387434,1977-01-01 00:00:00,1993-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400545,French,,,Maroc : Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,,,,,E/NL.1993/52-53,
422365,11176/387434,1957-01-01 00:00:00,1957-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400544,French,,,"France : Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,,,,E/NL.1957/46,
422364,11176/387434,1954-01-01 00:00:00,1955-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400543,French,,,"Irlande : Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,,,,E/NL.1955/38,
422363,11176/387434,1953-01-01 00:00:00,1953-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400542,French,,,"Pérou : Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,United Nations,,,,,,E/NL.1953/160,
422362,11176/387434,1955-01-01 00:00:00,1956-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400541,French,,,"Fidji, communiqués par le gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord : Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,,,,E/NL.1956/64-65,
422361,11176/387434,1953-01-01 00:00:00,1954-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400540,English,"France : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1954/10,
422360,11176/387434,1937-01-01 00:00:00||1945-01-01 00:00:00||1938-01-01 00:00:00,1948-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400539,French,,,"Îles Fidji, communiqués par le gouvernement du Royaume-Uni : Lois et règlements communiqués conformément aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,,,,E/NL.1948/45,
422359,11176/387434,1984-01-01 00:00:00,1987-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400538,English,China : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,,,,,,E/NL.1987/13,
422358,11176/387434,1985-01-01 00:00:00,1985-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400537,Spanish,,Perú : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,,,,,,,,E/NL.1985/94-96,
422357,11176/387434,1970-01-01 00:00:00,1972-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400536,French,,,Italie : Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants,,,,,,,,E/NL.1972/12,
422356,11176/387434,1958-01-01 00:00:00,1958-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400535,French,,,"Suisse : Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,,,,E/NL.1958/20,
422355,11176/387434,1957-01-01 00:00:00,1957-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400534,French,,,"Commission des stupéfiants, rapport sur la douzième session, 29 avril - 31 mai 1957 : Conseil économique et social, documents officiels, vingt-quatrième session, supplément n° 10",,,,,Nations Unies. Commission des stupéfiants,,,E/CN.7/333/Rev.1||E/3010/Rev.1,
422354,11176/387434,1948-01-01 00:00:00,1948-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400533,French,,,"Guyane Anglaise, communiqués par le gouvernement du Royaume-Uni : Lois et règlements communiqués conformément aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,,,,E/NL.1948/42,
422353,11176/387434,1981-01-01 00:00:00,1981-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400532,Spanish,,"Informe de la Comisión sobre la utilizacion del espacio ultraterrestre con fines pacificos : Asamblea General, documentos oficiales, trigesimo sexto periodo de sesiones, suplemento no. 20, A/36/20",,,,,Comisión sobre la Utilización del Espacio Ultraterrestre con Fines Pacíficos,,,,A/36/20,
422352,11176/387434,1957-01-01 00:00:00,1957-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400531,French,,,"Inde : Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,,,,E/NL.1957/106-109,
422351,11176/387434,1993-01-01 00:00:00,1993-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400530,French,,,"Rapport interimaire sur la troisième réunion de travail de l'Organisation des Nations Unies/Agence spatiale europeenne sur les sciences spatiales fondamentales au service des pays en developpement, Lagos, Nigeria, 18-22 octobre 1993",,,,,Comité des utilisations pacifiques de l'espace extra-atmosphérique. Sous-Comité scientifique et technique,,,A/AC.105/560,
422350,11176/387434,1957-01-01 00:00:00,1957-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400529,English,"United Kingdom of Great Britain and Northern Ireland : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1957/50,
422349,11176/387434,1989-01-01 00:00:00,1991-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400528,French,,,Tchad : Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,,,,,E/NL.1991/7,
422348,11176/387434,1974-01-01 00:00:00||1967-01-01 00:00:00||1962-01-01 00:00:00,1974-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400527,French,,,Togo : Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants,,,,,,,,E/NL.1974/44,
422347,11176/387434,1987-01-01 00:00:00||1939-01-01 00:00:00||1988-01-01 00:00:00,1988-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400526,English,Bahamas : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,,,,,,E/NL.1988/10-12,
422346,11176/387434,1994-01-01 00:00:00||1992-01-01 00:00:00,1994-01-01 00:00:00,,,ISSN 1013-8250,,http://hdl.handle.net/11176/400525,French,,,"Supplément n° 1 à stupéfiants : évaluations des besoins du monde pour 1994, statistiques pour 1992, évaluations à jour au 31 janvier 1994",,,International Narcotics Control Board,Junta Internacional de Fiscalización de Estupefacientes,Organe international de contrôle des stupéfiants,,,E/INCB/1993/2/Supp.1,
422345,11176/387434,1950-01-01 00:00:00,1952-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400524,English,"United States of America : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1952/6,
422344,11176/387434,1955-01-01 00:00:00,1955-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400523,English,"Peru : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1955/37,
422343,11176/387434,1960-01-01 00:00:00,1960-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400522,English,"Mauritius, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1960/87,
422342,11176/387434,1946-01-01 00:00:00,1948-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400521,French,,,"Cuba : Lois et règlements communiqués conformément aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,,,,E/NL.1948/21,
422341,11176/387434,1965-01-01 00:00:00||1969-01-01 00:00:00,1969-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400520,English,Iraq : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs,,,,,,,,,,E/NL.1969/48-50,
422340,11176/387434,1969-01-01 00:00:00,1969-01-01 00:00:00,,,,,http://hdl.handle.net/11176/400519,English,Report to the Economic and Social Council on the work of the board in 1969,,,,,International Narcotics Control Board,,,,E.70.XI.2,E/INCB/5,
