symbol,79,269,coverage,500,en_245,fr_245,es_245,ru_245,en_id,fr_id,es_id,ru_id,en_020,fr_020,es_020,ru_020,en_022,es_022,fr_022,ru_022,en_710,es_710,fr_710,ru_710,dl
E/NL.1993/52-53,,1993-01-01 00:00:00,1977-01-01 00:00:00,,,Maroc : Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,422366,,,,,,,,,,,,,,,y
E/NL.1987/13,,1987-01-01 00:00:00,1984-01-01 00:00:00,,China : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422359,,,,,,,,,,,,,,,,y
E/NL.1985/94-96,,1985-01-01 00:00:00,1985-01-01 00:00:00,,Peru : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,Perú : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,420848,,422358,,,,,,,,,,,,,,y
E/CN.7/333/Rev.1||E/3010/Rev.1,,1957-01-01 00:00:00,1957-01-01 00:00:00,,,"Commission des stupéfiants, rapport sur la douzième session, 29 avril - 31 mai 1957 : Conseil économique et social, documents officiels, vingt-quatrième session, supplément n° 10",,,,422355,,,,,,,,,,,,,,,y
A/36/20,,1981-01-01 00:00:00,1981-01-01 00:00:00,,"Report of the Committee on the Peaceful Uses of Outer Space : General Assembly, official records, thirty-sixth session, supplement no. 20, A/36/20","Rapport du Comité des utilisations pacifiques de l'espace extra-atmosphérique : Assemblée générale, documents officiels, trente-sixième session, supplément n° 20, A/36/20","Informe de la Comisión sobre la utilizacion del espacio ultraterrestre con fines pacificos : Asamblea General, documentos oficiales, trigesimo sexto periodo de sesiones, suplemento no. 20, A/36/20",,420732,420806,422353,,,,,,,,,,Committee on the Peaceful Uses of Outer Space,,,,y
A/AC.105/560,,1993-01-01 00:00:00,1993-01-01 00:00:00,,"Interim report on the Third United Nations/European Space Agency Workshop on Basic Space Science for Developing Countries, Lagos, Nigeria, 18-22 October 1993","Rapport interimaire sur la troisième réunion de travail de l'Organisation des Nations Unies/Agence spatiale europeenne sur les sciences spatiales fondamentales au service des pays en developpement, Lagos, Nigeria, 18-22 octobre 1993","Informe provisional sobre el tercer curso practico de las Naciones Unidas y la Agencia Espacial Europea sobre ciencia espacial basica para paises en desarrollo, Lagos, Nigeria, 18 a 22 de octubre de 1993",,421293,422351,418226,,,,,,,,,,Committee on the Peaceful Uses of Outer Space,,,,y
E/NL.1991/7,,1991-01-01 00:00:00,1989-01-01 00:00:00,,,Tchad : Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,422349,,,,,,,,,,,,,,,y
E/NL.1988/10-12,,1988-01-01 00:00:00,1987-01-01 00:00:00||1939-01-01 00:00:00||1988-01-01 00:00:00,,Bahamas : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,422347,,,,,,,,,,,,,,,,y
E/INCB/1993/2/Supp.1,,1994-01-01 00:00:00,1994-01-01 00:00:00||1992-01-01 00:00:00,,,"Supplément n° 1 à stupéfiants : évaluations des besoins du monde pour 1994, statistiques pour 1992, évaluations à jour au 31 janvier 1994",,,,422346,,,,,,,,ISSN 1013-8250,,,,Junta Internacional de Fiscalización de Estupefacientes,,,y
E/NL.1977/1,,1977-01-01 00:00:00,1976-01-01 00:00:00,,Mexico : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,México : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,421266,,422338,,,,,,,,,,,,,,y
