191__a,71020a,65117a,71127a,65007a,245__,246__,246__(2),246__(3),079__,269__,coverage,500__,020__a,022__a,en_id,fr_id,es_id,ru_id,dl
E/NL.1959/68,United Kingdom,VANUATU,,NARCOTIC DRUGS,"$a New Hebrides, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland and by the Government of France :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Nouvelles-Hébrides, communiqués par le gouvernement de la France et par le gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1959-01-01 0:00:00,1959-01-01 0:00:00,,,,421318,422195,,,n
C. 368. M. 242. 1936. XI,UN. Permanent Central Opium Board,,,NARCOTIC DRUGS||OPIUM,"$a Report to the Council on the work of the Permanent Central Opium Board during its twenty-sixth, twenty-seventh and twenty-eighth sessions :$b Geneva Opium Convention of February 19th, 1925, Convention for limiting the Manufacture and regulating the Distribution of Narcotic Drugs of July 13th, 1931",,,,,1936-01-01 0:00:00,1936-01-01 0:00:00,"Series of League of Nations publications : XI. Opium and other dangerous drugs, 1936. XI. 19",,,421455,,,,n
C.760.M.260.1924.XI. Vol. II,Opium Conference (2nd : 1924-1925 : Geneva),,Opium Conference (2nd : 1924-1925 : Geneva),NARCOTIC DRUGS||OPIUM,"$a Actes de la deuxième conférence de l'opium :$b Volume II, Séances des commissions et des sous-commissions, Genève, 17 novembre 1924-19 février 1925",,,,,1925-01-01 0:00:00,1924-01-01 00:00:00||1925-01-01 00:00:00,,,,,421921,,,n
E/OB/14/Add.,,,,NARCOTIC DRUGS,"$a Addendum au rapport au Conseil économique et social sur l'activité du comité en 1958 :$b établi en exécution de la Convention du 19 février 1925 sur les stupéfiants et de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendées par le Protocole du 11 décembre 1946",,"$a Suplemento al informe al Consejo Económico y Social sobre la actividad del Comité en 1958 :$b elaborado en cumplimiento de las disposiciones de la Convención de 19 de febrero de 1925 sobre estupefacientes, y de la Convención de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes, modificadas por el Protocolo de 11 de diciembre de 1946",,58.XI.5,1958-01-01 0:00:00,1958-01-01 0:00:00,,,,,418069,420419,,n
E/OB/15/Add.,,,,NARCOTIC DRUGS,"$a Addendum au rapport au Conseil économique et social sur l'activité du comité en 1959 :$b établi en exécution de la Convention du 19 février 1925 sur les stupéfiants et de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendées par le Protocole du 11 décembre 1946",,"$a Informe al Consejo Económico y Social sobre la actividad del Comité en 1959 :$b elaborado en cumplimiento de las disposiciones de la Convención de 19 de febrero de 1925 sobre estupefacientes, y de la Convención de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes, modificadas por el Protocolo de 11 de diciembre de 1946",,59.XI.3,1959-01-01 0:00:00,1959-01-01 0:00:00,,,,,418960,419834,,n
E/OB/21/Add.,,,,NARCOTIC DRUGS,"$a Addendum au rapport au Conseil économique et social sur l'activité du Comité en 1965 :$b établi en exécution de la Convention du 19 février 1925 sur les stupéfiants et de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendées par le Protocole du 11 décembre 1946, et du Protocole du 23 juin 1953 visant à limiter et a réglementer la cultur",,"$a Suplemento al informe al Consejo Económico y Social sobre las actividades del Comité en 1965 :$b preparado en cumplimiento de las disposiciones de la Convención de 19 de febrero de 1925 sobre estupefacientes, de la Convención de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes, modificadas por el Protocolo de 11 de diciembre de 1946, del Protocolo de 2",,66.XI.5,1966-01-01 0:00:00,1965-01-01 0:00:00,,,,,421376,420967,,n
E/OB/22/Add.,,,,NARCOTIC DRUGS,"$a Addendum au rapport au Conseil économique et social sur l'activité du Comité en 1966 :$b établi en exécution de la Convention du 19 février 1925 sur les stupéfiants et de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendées par le Protocole du 11 décembre 1946, et du Protocole du 23 juin 1953 visant à limiter et a réglementer la cultur",,"$a Suplemento al informe al Consejo Económico y Social sobre las actividades del Comité en 1966 :$b preparado en cumplimiento de las disposiciones de la Convención de 19 de febrero de 1925 sobre estupefacientes, de la Convención de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes, modificadas por el Protocolo de 11 de diciembre de 1946, del Protocolo de 2",,67.XI.9,1967-01-01 0:00:00,1966-01-01 0:00:00,,,,,420912,422101,,n
E/OB/11/Add.,UN. Permanent Central Opium Board,,,NARCOTIC DRUGS,"$a Addendum to the report to the Economic and Social Council on the work of the Board in 1955 :$b issued in compliance with the terms ofthe Convention of 19 February 1925 on narcotic drugs and the Convention of 13 July 1931 for limiting the manu facture and regulating the distribu tion of narcotic drugs, as amended by the Protocol of 11 December 1946",,"$a Suplemento al informe al Consejo Económico y Social sobre la actividad del Comité en 1955 :$b elaborado en cumplimiento de las disposiciones del convenio de 19 de febrero de 1925 sobre estupefacientes, y del convenio de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes, modificados por el Protocolo de 11 de diciembre de 1946",,1955.XI.4,1955-01-01 0:00:00,1955-01-01 0:00:00,,,,418708,,419148,,n
E/OB/12/Add.,UN. Permanent Central Opium Board,,,NARCOTIC DRUGS,"$a Addendum to the report to the Economic and Social Council on the work of the board in 1956 :$b issued in compliance with the terms ofthe Convention of 19 February 1925 on narcotic drugs and the Convention of 13 July 1931 for limiting the manu facture and regulating the distribu tion of narcotic drugs, as amended by the Protocol of 11 December 1946",,"$a Suplemento al informe al Consejo Económico y Social sobre la actividad del Comité en 1956 :$b elaborado en cumplimiento de las disposiciones de la Convención de 19 de febrero de 1925 sobre estupefacientes, y de la Convención de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes, modificadas por el Protocolo de 11 de diciembre de 1946",,1956.XI.4,1956-01-01 0:00:00,1956-01-01 0:00:00,,,,418942,,419619,,n
E/OB/13/Add.,UN. Permanent Central Opium Board,,,NARCOTIC DRUGS,"$a Addendum to the report to the Economic and Social Council on the work of the board in 1957 :$b issued in compliance with the terms ofthe Convention of 19 February 1925 on narcotic drugs and the Convention of 13 July 1931 for limiting the manu facture and regulating the distribu tion of narcotic drugs, as amended by the Protocol of 11 December 1946",,"$a Suplemento al informe al Consejo Económico y Social sobre la actividad del Comité en 1957 :$b elaborado en cumplimiento de las disposiciones de la Convención de 19 de febrero de 1925 sobre estupefacientes, y de la Convención de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes, modificadas por el Protocolo de 11 de diciembre de 1946",,1957.XI.3,1957-01-01 0:00:00,1957-01-01 0:00:00,,,,420193,,419172,,n
